
# Surface 0 of 1 surfaces

# Curve title: "y**4+x*y-x**3+x-2"

# Contour 0, label:        0
4.5734062e+00 2.9859719e+00 0.0000000e+00 
4.6481058e+00 3.0260521e+00 0.0000000e+00 
4.7258116e+00 3.0661323e+00 0.0000000e+00 
4.7474747e+00 3.0768839e+00 0.0000000e+00 
4.8014845e+00 3.1062124e+00 0.0000000e+00 
4.8781728e+00 3.1462926e+00 0.0000000e+00 
4.9494949e+00 3.1821812e+00 0.0000000e+00 
4.9571387e+00 3.1863727e+00 0.0000000e+00 
5.0329814e+00 3.2264529e+00 0.0000000e+00 
5.1116852e+00 3.2665331e+00 0.0000000e+00 
5.1515152e+00 3.2860929e+00 0.0000000e+00 
5.1899973e+00 3.3066132e+00 0.0000000e+00 
5.2679057e+00 3.3466934e+00 0.0000000e+00 
5.3486482e+00 3.3867735e+00 0.0000000e+00 
5.3535354e+00 3.3891164e+00 0.0000000e+00 
5.4262713e+00 3.4268537e+00 0.0000000e+00 
5.5062634e+00 3.4669339e+00 0.0000000e+00 
5.5555556e+00 3.4907984e+00 0.0000000e+00 
5.5865986e+00 3.5070140e+00 0.0000000e+00 
5.6659671e+00 3.5470942e+00 0.0000000e+00 
5.7480586e+00 3.5871743e+00 0.0000000e+00 
5.7575758e+00 3.5916702e+00 0.0000000e+00 
5.8275894e+00 3.6272545e+00 0.0000000e+00 
5.9090893e+00 3.6673347e+00 0.0000000e+00 
5.9595960e+00 3.6913790e+00 0.0000000e+00 
5.9909865e+00 3.7074148e+00 0.0000000e+00 
6.0719988e+00 3.7474950e+00 0.0000000e+00 
6.1556409e+00 3.7875752e+00 0.0000000e+00 
6.1616162e+00 3.7903502e+00 0.0000000e+00 
6.2366528e+00 3.8276553e+00 0.0000000e+00 
6.3198303e+00 3.8677355e+00 0.0000000e+00 
6.3636364e+00 3.8882038e+00 0.0000000e+00 
6.4029360e+00 3.9078156e+00 0.0000000e+00 
6.4857358e+00 3.9478958e+00 0.0000000e+00 
6.5656566e+00 3.9854270e+00 0.0000000e+00 
6.5707496e+00 3.9879760e+00 0.0000000e+00 
6.6532490e+00 4.0280561e+00 0.0000000e+00 
6.7382382e+00 4.0681363e+00 0.0000000e+00 
6.7676768e+00 4.0816190e+00 0.0000000e+00 
6.8222758e+00 4.1082164e+00 0.0000000e+00 
6.9069776e+00 4.1482966e+00 0.0000000e+00 
6.9696970e+00 4.1771322e+00 0.0000000e+00 
6.9927346e+00 4.1883768e+00 0.0000000e+00 
7.0772150e+00 4.2284569e+00 0.0000000e+00 
7.1641238e+00 4.2685371e+00 0.0000000e+00 
7.1717172e+00 4.2719428e+00 0.0000000e+00 
7.2488727e+00 4.3086172e+00 0.0000000e+00 
7.3355693e+00 4.3486974e+00 0.0000000e+00 
7.3737374e+00 4.3658654e+00 0.0000000e+00 
7.4218822e+00 4.3887776e+00 0.0000000e+00 
7.5084238e+00 4.4288577e+00 0.0000000e+00 
7.5757576e+00 4.4592111e+00 0.0000000e+00 
7.5961833e+00 4.4689379e+00 0.0000000e+00 
7.6826219e+00 4.5090180e+00 0.0000000e+00 
7.7713894e+00 4.5490982e+00 0.0000000e+00 
7.7777778e+00 4.5519082e+00 0.0000000e+00 
7.8581054e+00 4.5891784e+00 0.0000000e+00 
7.9467744e+00 4.6292585e+00 0.0000000e+00 
7.9797980e+00 4.6438061e+00 0.0000000e+00 
8.0348231e+00 4.6693387e+00 0.0000000e+00 
8.1234393e+00 4.7094188e+00 0.0000000e+00 
8.1818182e+00 4.7351610e+00 0.0000000e+00 
8.2127290e+00 4.7494990e+00 0.0000000e+00 
8.3013341e+00 4.7895792e+00 0.0000000e+00 
8.3838384e+00 4.8259774e+00 0.0000000e+00 
8.3917823e+00 4.8296593e+00 0.0000000e+00 
8.4804147e+00 4.8697395e+00 0.0000000e+00 
8.5712569e+00 4.9098196e+00 0.0000000e+00 
8.5858586e+00 4.9161075e+00 0.0000000e+00 
